name,area,salary,corp_name,description,job_restrict,welfare
Business Development 渠道经理,上海-浦东新区,1-1.5万/月,"NEULION GROUP, LLC","
外资（欧美）  |  50-150人  |  金融/投资/证券,房地产","2年经验,大专,招1人,03-02发布",
海外市场销售,上海-闵行区,10-15万/年,上海申沃客车有限公司,"
合资  |  500-1000人  |  汽车及零配件,机械/设备/重工","2年经验,本科,招1人,03-02发布","五险一金,补充医疗保险,定期体检,销售考核奖励,年终奖金,绩效奖金,专业培训,出国机会"
销售助理兼前台周末双休,上海-静安区,6-8千/月,克拉玛依昱盛商务服务有限公司,"
创业公司  |  50-150人  |  金融/投资/证券,互联网/电子商务","无工作经验,招2人,03-02发布","做五休二,周末双休,带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训"
区块链工程师,上海-浦东新区,1.5-2.5万/月,上海汇乾企业管理有限公司,"
民营公司  |  50-150人  |  金融/投资/证券,计算机软件","2年经验,本科,招2人,03-02发布","五险一金,年终奖金"
平面设计师,上海,0.8-1.2万/月,上海迈科金属资源有限公司,"
民营公司  |  150-500人  |  贸易/进出口","5-7年经验,本科,招1人,03-02发布",
客服专员转互联网实习     朝九晚六+ 双休,上海,3-4.5千/月,卓研云软件科技（上海）,"
上市公司  |  10000人以上  |  计算机软件,互联网/电子商务","无工作经验,大专,招6人,03-02发布","做五休二,弹性工作,周末双休,五险一金,绩效奖金,全勤奖,节日福利,专业培训,加班补贴"
教务（南方校区）,上海-闵行区,4.5-6千/月,上海宝山区唯中文化专修学院,"
民营公司  |  150-500人  |  教育/培训/院校","无工作经验,招若干人,03-02发布",
市场经理/主管,上海-静安区,1.5-3万/月,上海大象医疗健康科技有限公司,"
民营公司  |  150-500人  |  互联网/电子商务,医疗/护理/卫生","3-4年经验,本科,招2人,03-02发布","五险一金,员工旅游,交通补贴,绩效奖金,专业培训"
美术指导（地产）(职位编号：003),上海-徐汇区,1-1.8万/月,上海晶霖文化传播有限公司,"
民营公司  |  少于50人  |  广告,房地产","无工作经验,招3人,03-02发布",
市场助理,上海,4-6千/月,无锡联云世纪科技股份有限公司上海分公司,"
上市公司  |  150-500人  |  计算机服务(系统、数据服务、维修),计算机软件","无工作经验,本科,招1人,03-02发布",
