name,price
Python Web开发实战+Flask Web开发+ 测试驱动方法+高效开发实战共4本,258.00
包邮白帽子讲Web扫描+Web安全深度剖析+Python绝技+漏洞战争+软件保护及分析技术,292.60
Python 学习手册,89.30
流畅的Python+Python大战机器学习+网络爬虫实战+Python机器学习 5本,309.00
现货 Python大战机器学习：数据科学家的第一个小目标 机器学习入门教程书籍,46.00
Python数据分析与数据化运营 宋天龙 计算机与互联网 书籍,81.20
Python入门经典,31.00
包邮  零起点python足彩大数据与机器学习实盘分析 Python编程语言教程书籍,74.30
区域包邮贝叶斯思维:统计建模的Python学习法+统计思维：程序员数学之概率统计  2本,73.00
Python学习手册(第四版) - 鲁特兹,83.30
NLTK基础教程 用NLTK和Python库构建机器学习应用  自然语言处理 NLP任务,54.26
机器人Python极客编程入门与实战 计算机与互联网 书箱|6272640,47.20
Python编程基础,35.60
量化投资：以Python为工具   编程语言与程序设计,75.00
Selenium自动化测试之道 基于Python和Java语言 Selenium自动化测试,42.20
正版现货 Python网络爬虫从入门到实践 零基础自学Python编程从入门到精通教程书籍,39.80
包邮 Python学习从入门到实践 python基础教程书籍 Python核心编程 书籍,39.50
精通Python自然语言处理+NLP汉语自然语言处理原理与实践 2本 语法语义分析,111.50
现货Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,49.50
正版 Python程序设计入门到实战 特级讲师带你轻松学Python 何敏煌 Python,55.20
"143360-利用Python进行数据分析 (美)麦金尼,唐学韬 978711143673",52.50
Python基础教程(第2版)(修订版) 编程语言与程序设计 【新华书店官方正版】,77.42
Python数据科学入门 快速掌握数据采集与清洗 数据分析 机器学习等任务工具 轻松解决,34.30
Python Web开发 测试驱动方法 计算机与互联网 书籍,72.30
Python Qt GUI快速编程——PyQt编程指南+Abaqus GUI程序开发指南,102.10
6a全新正版 利用Python进行数据分析 计算机书籍 Python实用指南书籍 Pyth,93.34
Python可以这样学 董付国 计算机与互联网 书籍,50.40
Abaqus GUI程序开发指南（Python语言）,42.80
Python机器学习实践指南,50.00
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 人民邮电出,101.80
包邮Python机器学习算法+深度学习优化与识别+深入浅出深度学习,198.50
包邮跟老齐学Python：Django实战+轻松入门 齐伟 Django开发实战教程书籍,95.60
包邮  OpenCV 3计算机视觉 Python语言实现(原书第2版)+视觉SLAM十四讲,98.00
Python Web开发实战+Flask Web开发,121.30
【Python书籍】零起点Python足彩大数据与机器学习实盘分析 何海群 Python,76.20
包邮 Python机器学习经典实例+Python机器学习算法 机器学习入门教程书籍,95.00
新书 算法图解 算法基础书 Python 9787115447630,29.40
包邮 软件自动化测试开发+Selenium 2自动化测试实战:基于Python语言 2本,89.00
趣学Python——教孩子学编程        无需任何计算机知识 轻松有趣地掌握Pyth,44.80
包邮 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实,50.90
